用户类型,优先级,优化方向,问题描述,建议方案,用户引述摘录,来源索引,预估影响,版本,Owner,状态
老用户,P0,口语识别纠错,缺少发音练习反馈与纠错能力,上线口语识别+纠错MVP（跟读打分、错误提示）,“练习口说的时候想要知道自己的发音是否正确”；“如果有口说侦测的话可能值得付费”；“可以做出产品的区别性”,v37访谈_老用户/访谈记录陳欣妤_context_fixed.txt:L93-L101,高,v037,,
老用户,P1,音频播放控制,答题时发音重复播放干扰节奏,增加播放间隔或取消重复,“有时候我还在看的过程当中它就在重复了”；“加拉长那个间隔也可以就直接取消重复播放也可以”,"v37访谈_老用户/访谈记录Hanli_context_fixed.txt:L77-L80,L114-L115",中,v037,,
老用户,P2,桌面小工具,无法在非学习时间查看词汇,开发词书Widget以便随时查看,“单字书的Widget，因为这个是真的可以派上用场”,v37访谈_老用户/访谈记录Hanli_context_fixed.txt:L131,中,v037,,
老用户,P2,内容自然度改进,故事与祝贺信息的语言不自然,优化文案与本土化表达,“每天的单字故事看起来蛮假的”；“祝贺信息里面的话有点奇怪”,v37访谈_老用户/访谈记录陳欣妤_context_fixed.txt:L54-L55；v37访谈_老用户/访谈记录Hanli_context_fixed.txt:L71-L75,低,v037,,
新用户,P0,片语发音功能,片语无法播放读音,为片语补充TTS发音并在卡片加播放按钮,“片语不能念给我听”；“片语原念有听很需要改进”,"v37访谈_新用户/访谈记录廖耘亞_context_fixed.txt:L130-L132,L288-L290",高,v037,,
新用户,P1,音频播放控制,自动重复播放影响体验,改为用户主动触发并允许关闭重复,“反覆的念有一点烦”；“想听的时候他在念给我听就好”,v37访谈_新用户/访谈记录廖耘亞_context_fixed.txt:L159-L161,中,v037,,
新用户,P1,单词讲解功能强化,差异化价值需要更突出,将“词根词缀+例句拆解”等深度讲解前置到关键路径,“SparkMo有针对单字做讲解”；“龙腾APP只是一个背单字的程式”,v37访谈_新用户/访谈记录廖耘亞_context_fixed.txt:L140-L142,高,v037,,
新用户,P2,个人标记强化,缺少灵活的单词标记与复习机制,支持“星标/自定义分组/按标记复习”的组合,“可以单独加入星号之类的然后可以以后可以单独拿出来看”,v37访谈_新用户/新用户访谈洞察总结.md:L66-L67,中,v037,,
新用户,P2,新手引导改进,用户容易直接跳过引导,简化引导并突出差异化功能入口,“没注意到”；“直接跳过了就跟其他APP长得也差不多”,v37访谈_新用户/访谈记录廖耘亞_context_fixed.txt:L169-L175,低,v037,,
新用户,P2,进度展示入口,未注意到闯关地图进度展示,强化进度入口与可视化（连胜、里程碑、阶段目标）,“点进去然后就直接开始背单子”；“背完就下线”,v37访谈_新用户/访谈记录廖耘亞_context_fixed.txt:L176-L181,低,v037,,
